text,label
"It’s perfect, exactly what I wanted.",1
Highly recommend it to everyone.,1
Not worth it at all.,0
"Impressive results, would buy again.",1
Hate this product.,0
Absolutely love this!,1
Exceeded my expectations!,1
Waste of money.,0
"Terrible, do not recommend.",0
Not worth it at all.,0
Absolutely love this!,1
Exceeded my expectations!,1
Waste of money.,0
Completely disappointed.,0
Hate this product.,0
This is the best I’ve used.,1
Very satisfied with the purchase.,1
This is the best I’ve used.,1
Fantastic quality and service.,1
Absolutely love this!,1
This is the best I’ve used.,1
This is the best I’ve used.,1
"It’s perfect, exactly what I wanted.",1
Fantastic quality and service.,1
"Terrible, do not recommend.",0
Exceeded my expectations!,1
Worst experience ever.,0
Hate this product.,0
Hate this product.,0
"Useless, doesn’t work.",0
Very poor quality.,0
"It’s perfect, exactly what I wanted.",1
Great experience overall.,1
"Terrible, do not recommend.",0
"Terrible, do not recommend.",0
"It’s perfect, exactly what I wanted.",1
Not worth it at all.,0
Fantastic quality and service.,1
This is the best I’ve used.,1
"Useless, doesn’t work.",0
Not worth it at all.,0
I am so happy with this product!,1
"Useless, doesn’t work.",0
Very satisfied with the purchase.,1
I am so happy with this product!,1
Extremely dissatisfied.,0
Not worth it at all.,0
Extremely dissatisfied.,0
I am so happy with this product!,1
Hate this product.,0
Not worth it at all.,0
Exceeded my expectations!,1
Fantastic quality and service.,1
Extremely dissatisfied.,0
"Terrible, do not recommend.",0
Completely disappointed.,0
Not worth it at all.,0
It broke after one use.,0
Highly recommend it to everyone.,1
It broke after one use.,0
"It’s perfect, exactly what I wanted.",1
I am so happy with this product!,1
"Terrible, do not recommend.",0
Exceeded my expectations!,1
Very poor quality.,0
Very poor quality.,0
It broke after one use.,0
"Useless, doesn’t work.",0
"It’s perfect, exactly what I wanted.",1
Very satisfied with the purchase.,1
Great experience overall.,1
"It’s perfect, exactly what I wanted.",1
"It’s perfect, exactly what I wanted.",1
I am so happy with this product!,1
Completely disappointed.,0
Very poor quality.,0
"Useless, doesn’t work.",0
Hate this product.,0
Very poor quality.,0
Completely disappointed.,0
Absolutely love this!,1
Worst experience ever.,0
"Impressive results, would buy again.",1
Completely disappointed.,0
Exceeded my expectations!,1
Great experience overall.,1
Great experience overall.,1
Absolutely love this!,1
This is the best I’ve used.,1
"Impressive results, would buy again.",1
Great experience overall.,1
This is the best I’ve used.,1
Waste of money.,0
Very satisfied with the purchase.,1
Absolutely love this!,1
It broke after one use.,0
It broke after one use.,0
Worst experience ever.,0
Completely disappointed.,0
"Useless, doesn’t work.",0
